tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;22;3000;TT;7;3000;0
;tTT1;12;4000;TT;7;4000;0
;tTT2;18;2000;TT;7;2000;0
;tTT3;138;4000;TT;7;4000;0
;tTT4;31;4000;TT;7;4000;0
;tTT5;5;3000;TT;7;3000;0
;tTT6;11;2000;TT;7;2000;0
;tTT7;2;4000;TT;7;4000;0
;tTT8;13;3000;TT;7;3000;0
;tTT9;15;4000;TT;7;4000;0
;tTT10;5;3000;TT;7;3000;0
;tTT11;13;4000;TT;7;4000;0
;tTT12;37;3000;TT;7;3000;0
;tTT13;6;3000;TT;7;3000;0
;tTT14;21;2000;TT;7;2000;0
;tTT15;11;2000;TT;7;2000;0
;tTT16;22;2000;TT;7;2000;0
;tTT17;3;2000;TT;7;2000;0
;tTT18;11;3000;TT;7;3000;0
;tTT19;26;4000;TT;7;4000;0
;tTT20;9;4000;TT;7;4000;0
;tTT21;14;2000;TT;7;2000;0
;tTT22;4;2000;TT;7;2000;0
;tTT23;22;4000;TT;7;4000;0
;tTT24;12;2000;TT;7;2000;0
;tTT25;93;4000;TT;7;4000;0
;tTT26;6;3000;TT;7;3000;0
;tTT27;32;2000;TT;7;2000;0
;tTT28;1;2000;TT;7;2000;0
;tTT29;8;2000;TT;7;2000;0
;tET13;33;4000;ET;0;1887;2
;tET15;38;4000;ET;0;1656;1
;tET2;20;3000;ET;1;1354;3
;tET0;196;4000;ET;1;1163;1
;tET7;46;3000;ET;2;1155;3
;tET18;24;3000;ET;2;1150;1
;tET10;3;4000;ET;2;1129;3
;tET4;6;3000;ET;2;1090;1
;tET3;19;4000;ET;2;1062;2
;tET6;31;3000;ET;3;1061;1
;tET5;15;3000;ET;3;1044;2
;tET1;6;4000;ET;3;1032;2
;tET17;1;2000;ET;4;997;2
;tET16;60;2000;ET;4;956;1
;tET11;4;2000;ET;4;900;2
;tET12;29;2000;ET;4;852;2
;tET19;15;2000;ET;4;780;3
;tET9;2;3000;ET;5;764;1
;tET14;4;2000;ET;6;641;1
;tET8;51;2000;ET;6;574;3
