tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;29;4000;TT;7;4000;0
;tTT1;101;4000;TT;7;4000;0
;tTT2;28;3000;TT;7;3000;0
;tTT3;62;2000;TT;7;2000;0
;tTT4;4;2000;TT;7;2000;0
;tTT5;46;4000;TT;7;4000;0
;tTT6;7;2000;TT;7;2000;0
;tTT7;17;4000;TT;7;4000;0
;tTT8;11;3000;TT;7;3000;0
;tTT9;1;3000;TT;7;3000;0
;tTT10;21;2000;TT;7;2000;0
;tTT11;20;4000;TT;7;4000;0
;tTT12;23;3000;TT;7;3000;0
;tTT13;46;3000;TT;7;3000;0
;tTT14;6;3000;TT;7;3000;0
;tTT15;7;4000;TT;7;4000;0
;tTT16;37;3000;TT;7;3000;0
;tTT17;1;2000;TT;7;2000;0
;tTT18;11;2000;TT;7;2000;0
;tTT19;7;2000;TT;7;2000;0
;tTT20;5;2000;TT;7;2000;0
;tTT21;21;3000;TT;7;3000;0
;tTT22;4;3000;TT;7;3000;0
;tTT23;9;4000;TT;7;4000;0
;tTT24;2;2000;TT;7;2000;0
;tTT25;6;3000;TT;7;3000;0
;tTT26;24;2000;TT;7;2000;0
;tTT27;7;2000;TT;7;2000;0
;tTT28;20;2000;TT;7;2000;0
;tTT29;7;3000;TT;7;3000;0
;tET2;167;4000;ET;0;1776;2
;tET9;49;4000;ET;0;1764;3
;tET11;11;4000;ET;1;1522;1
;tET14;18;4000;ET;1;1479;3
;tET1;3;3000;ET;1;1404;1
;tET19;27;3000;ET;2;1401;1
;tET7;96;3000;ET;2;1338;1
;tET3;51;4000;ET;3;1259;2
;tET16;23;3000;ET;3;1228;3
;tET15;1;3000;ET;3;1212;3
;tET5;6;3000;ET;3;1112;1
;tET17;3;2000;ET;4;934;1
;tET18;30;2000;ET;4;871;1
;tET13;17;3000;ET;5;832;1
;tET10;1;2000;ET;5;828;3
;tET8;4;2000;ET;5;805;1
;tET0;26;2000;ET;6;803;3
;tET12;25;2000;ET;6;679;2
;tET6;34;2000;ET;6;601;3
;tET4;21;2000;ET;6;527;3
