tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;5;4000;TT;7;4000;0
;tTT1;5;2000;TT;7;2000;0
;tTT2;42;3000;TT;7;3000;0
;tTT3;12;2000;TT;7;2000;0
;tTT4;98;4000;TT;7;4000;0
;tTT5;3;3000;TT;7;3000;0
;tTT6;16;2000;TT;7;2000;0
;tTT7;21;3000;TT;7;3000;0
;tTT8;73;3000;TT;7;3000;0
;tTT9;1;3000;TT;7;3000;0
;tTT10;52;4000;TT;7;4000;0
;tTT11;7;2000;TT;7;2000;0
;tTT12;16;4000;TT;7;4000;0
;tTT13;31;4000;TT;7;4000;0
;tTT14;4;3000;TT;7;3000;0
;tTT15;1;3000;TT;7;3000;0
;tTT16;44;4000;TT;7;4000;0
;tTT17;56;3000;TT;7;3000;0
;tTT18;29;4000;TT;7;4000;0
;tTT19;1;4000;TT;7;4000;0
;tTT20;27;3000;TT;7;3000;0
;tTT21;5;2000;TT;7;2000;0
;tTT22;18;4000;TT;7;4000;0
;tTT23;27;4000;TT;7;4000;0
;tTT24;25;4000;TT;7;4000;0
;tTT25;2;2000;TT;7;2000;0
;tTT26;36;4000;TT;7;4000;0
;tTT27;8;3000;TT;7;3000;0
;tTT28;6;3000;TT;7;3000;0
;tTT29;17;3000;TT;7;3000;0
;tET10;23;4000;ET;0;1861;2
;tET14;194;4000;ET;0;1475;2
;tET11;9;4000;ET;0;1406;2
;tET2;17;3000;ET;0;1406;2
;tET13;86;4000;ET;1;1396;1
;tET18;28;3000;ET;1;1376;3
;tET16;501;3000;ET;2;1196;2
;tET8;50;4000;ET;2;1086;3
;tET5;189;4000;ET;2;1056;1
;tET6;152;2000;ET;3;945;2
;tET7;104;2000;ET;3;881;1
;tET9;11;2000;ET;4;863;2
;tET17;193;3000;ET;4;830;2
;tET3;39;2000;ET;5;744;3
;tET4;229;2000;ET;5;700;1
;tET15;16;2000;ET;6;671;3
;tET12;6;2000;ET;6;614;3
;tET19;23;2000;ET;6;568;3
;tET1;34;2000;ET;6;540;3
;tET0;23;2000;ET;6;515;3
