tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;12;2000;TT;7;2000;0
;tTT1;38;3000;TT;7;3000;0
;tTT2;76;2000;TT;7;2000;0
;tTT3;19;2000;TT;7;2000;0
;tTT4;19;3000;TT;7;3000;0
;tTT5;35;2000;TT;7;2000;0
;tTT6;50;3000;TT;7;3000;0
;tTT7;52;4000;TT;7;4000;0
;tTT8;5;2000;TT;7;2000;0
;tTT9;51;2000;TT;7;2000;0
;tTT10;151;4000;TT;7;4000;0
;tTT11;6;4000;TT;7;4000;0
;tTT12;7;2000;TT;7;2000;0
;tTT13;31;4000;TT;7;4000;0
;tTT14;38;4000;TT;7;4000;0
;tTT15;24;3000;TT;7;3000;0
;tTT16;5;3000;TT;7;3000;0
;tTT17;1;2000;TT;7;2000;0
;tTT18;73;2000;TT;7;2000;0
;tTT19;5;3000;TT;7;3000;0
;tTT20;43;4000;TT;7;4000;0
;tTT21;42;3000;TT;7;3000;0
;tTT22;49;2000;TT;7;2000;0
;tTT23;65;2000;TT;7;2000;0
;tTT24;42;3000;TT;7;3000;0
;tTT25;10;3000;TT;7;3000;0
;tTT26;67;3000;TT;7;3000;0
;tTT27;43;3000;TT;7;3000;0
;tTT28;39;4000;TT;7;4000;0
;tTT29;16;4000;TT;7;4000;0
;tET14;4;4000;ET;0;1872;3
;tET16;63;4000;ET;0;1548;3
;tET8;1;4000;ET;0;1461;2
;tET11;33;3000;ET;0;1441;1
;tET13;7;4000;ET;1;1318;3
;tET19;23;3000;ET;1;1299;2
;tET5;12;4000;ET;2;1269;3
;tET12;7;3000;ET;2;1261;1
;tET7;11;3000;ET;2;1196;3
;tET3;28;4000;ET;2;1080;1
;tET18;1;3000;ET;2;1051;3
;tET0;9;4000;ET;2;1037;2
;tET9;5;2000;ET;2;978;2
;tET1;2;2000;ET;3;964;2
;tET6;20;3000;ET;3;822;1
;tET2;26;2000;ET;4;776;1
;tET10;2;2000;ET;4;726;2
;tET17;5;2000;ET;5;706;2
;tET15;19;2000;ET;5;679;2
;tET4;23;2000;ET;6;519;2
