tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;4;4000;TT;7;4000;0
;tTT1;13;4000;TT;7;4000;0
;tTT2;14;3000;TT;7;3000;0
;tTT3;15;2000;TT;7;2000;0
;tTT4;12;2000;TT;7;2000;0
;tTT5;19;2000;TT;7;2000;0
;tTT6;6;2000;TT;7;2000;0
;tTT7;35;3000;TT;7;3000;0
;tTT8;8;3000;TT;7;3000;0
;tTT9;3;2000;TT;7;2000;0
;tTT10;17;3000;TT;7;3000;0
;tTT11;22;2000;TT;7;2000;0
;tTT12;15;2000;TT;7;2000;0
;tTT13;3;2000;TT;7;2000;0
;tTT14;70;3000;TT;7;3000;0
;tTT15;13;2000;TT;7;2000;0
;tTT16;3;3000;TT;7;3000;0
;tTT17;13;2000;TT;7;2000;0
;tTT18;31;3000;TT;7;3000;0
;tTT19;45;2000;TT;7;2000;0
;tTT20;10;4000;TT;7;4000;0
;tTT21;22;2000;TT;7;2000;0
;tTT22;19;4000;TT;7;4000;0
;tTT23;3;2000;TT;7;2000;0
;tTT24;18;4000;TT;7;4000;0
;tTT25;29;3000;TT;7;3000;0
;tTT26;16;4000;TT;7;4000;0
;tTT27;40;3000;TT;7;3000;0
;tTT28;5;3000;TT;7;3000;0
;tTT29;28;4000;TT;7;4000;0
;tET8;302;4000;ET;0;1944;3
;tET19;186;4000;ET;0;1628;2
;tET1;351;4000;ET;1;1535;1
;tET18;82;3000;ET;1;1273;1
;tET3;27;3000;ET;1;1262;2
;tET6;92;3000;ET;1;1262;2
;tET0;22;3000;ET;1;1222;1
;tET14;125;4000;ET;2;1124;3
;tET11;207;4000;ET;2;1099;3
;tET15;28;4000;ET;3;1090;3
;tET4;114;3000;ET;3;1041;3
;tET10;131;2000;ET;3;974;1
;tET2;65;2000;ET;4;914;1
;tET13;91;3000;ET;4;785;1
;tET17;43;2000;ET;4;763;2
;tET7;4;2000;ET;5;757;2
;tET9;32;2000;ET;5;673;3
;tET5;11;2000;ET;5;571;3
;tET12;14;2000;ET;5;525;1
;tET16;24;2000;ET;6;523;1
