tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;42;4000;TT;7;4000;0
;tTT1;23;2000;TT;7;2000;0
;tTT2;100;4000;TT;7;4000;0
;tTT3;44;3000;TT;7;3000;0
;tTT4;46;3000;TT;7;3000;0
;tTT5;34;4000;TT;7;4000;0
;tTT6;20;2000;TT;7;2000;0
;tTT7;57;3000;TT;7;3000;0
;tTT8;75;2000;TT;7;2000;0
;tTT9;18;3000;TT;7;3000;0
;tTT10;23;4000;TT;7;4000;0
;tTT11;39;3000;TT;7;3000;0
;tTT12;13;2000;TT;7;2000;0
;tTT13;17;2000;TT;7;2000;0
;tTT14;102;2000;TT;7;2000;0
;tTT15;59;2000;TT;7;2000;0
;tTT16;4;2000;TT;7;2000;0
;tTT17;101;3000;TT;7;3000;0
;tTT18;24;2000;TT;7;2000;0
;tTT19;57;4000;TT;7;4000;0
;tTT20;44;3000;TT;7;3000;0
;tTT21;66;2000;TT;7;2000;0
;tTT22;100;4000;TT;7;4000;0
;tTT23;7;2000;TT;7;2000;0
;tTT24;1;3000;TT;7;3000;0
;tTT25;59;2000;TT;7;2000;0
;tTT26;34;2000;TT;7;2000;0
;tTT27;7;3000;TT;7;3000;0
;tTT28;50;2000;TT;7;2000;0
;tTT29;44;2000;TT;7;2000;0
;tET11;48;4000;ET;0;1845;2
;tET3;13;4000;ET;0;1717;1
;tET14;62;4000;ET;1;1579;3
;tET16;23;4000;ET;1;1533;2
;tET8;125;4000;ET;1;1326;1
;tET13;20;3000;ET;2;1321;1
;tET0;148;4000;ET;2;1253;1
;tET19;22;3000;ET;2;1197;3
;tET1;37;4000;ET;3;1136;1
;tET6;42;2000;ET;3;982;3
;tET10;8;3000;ET;3;947;2
;tET9;17;3000;ET;3;862;3
;tET15;19;2000;ET;4;825;2
;tET4;15;3000;ET;4;778;2
;tET5;6;2000;ET;4;736;1
;tET17;18;2000;ET;5;728;1
;tET7;8;2000;ET;6;640;1
;tET12;14;2000;ET;6;617;1
;tET18;10;2000;ET;6;611;2
;tET2;8;2000;ET;6;563;3
