tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;19;2000;TT;7;2000;0
;tTT1;25;4000;TT;7;4000;0
;tTT2;21;4000;TT;7;4000;0
;tTT3;7;2000;TT;7;2000;0
;tTT4;2;4000;TT;7;4000;0
;tTT5;18;3000;TT;7;3000;0
;tTT6;6;2000;TT;7;2000;0
;tTT7;7;2000;TT;7;2000;0
;tTT8;8;2000;TT;7;2000;0
;tTT9;2;4000;TT;7;4000;0
;tTT10;1;3000;TT;7;3000;0
;tTT11;1;2000;TT;7;2000;0
;tTT12;6;2000;TT;7;2000;0
;tTT13;2;4000;TT;7;4000;0
;tTT14;1;3000;TT;7;3000;0
;tTT15;13;2000;TT;7;2000;0
;tTT16;10;2000;TT;7;2000;0
;tTT17;9;4000;TT;7;4000;0
;tTT18;5;3000;TT;7;3000;0
;tTT19;12;3000;TT;7;3000;0
;tTT20;19;2000;TT;7;2000;0
;tTT21;4;2000;TT;7;2000;0
;tTT22;3;3000;TT;7;3000;0
;tTT23;13;4000;TT;7;4000;0
;tTT24;15;3000;TT;7;3000;0
;tTT25;1;3000;TT;7;3000;0
;tTT26;5;4000;TT;7;4000;0
;tTT27;3;4000;TT;7;4000;0
;tTT28;60;4000;TT;7;4000;0
;tTT29;1;3000;TT;7;3000;0
;tET2;89;4000;ET;0;1790;3
;tET0;4;4000;ET;0;1635;2
;tET10;43;4000;ET;0;1518;2
;tET4;7;3000;ET;0;1451;3
;tET8;221;3000;ET;1;1431;1
;tET12;128;4000;ET;1;1366;3
;tET15;159;3000;ET;2;1364;2
;tET5;354;4000;ET;2;1348;2
;tET16;108;3000;ET;3;1275;1
;tET17;68;3000;ET;4;1048;3
;tET13;36;2000;ET;4;992;3
;tET11;126;3000;ET;4;945;1
;tET9;30;2000;ET;4;926;1
;tET7;45;3000;ET;4;852;3
;tET3;16;2000;ET;4;838;1
;tET1;23;2000;ET;5;823;2
;tET18;64;2000;ET;6;778;2
;tET14;13;2000;ET;6;679;1
;tET6;14;2000;ET;6;652;3
;tET19;11;2000;ET;6;513;1
