tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;94;4000;TT;7;4000;0
;tTT1;8;4000;TT;7;4000;0
;tTT2;36;3000;TT;7;3000;0
;tTT3;33;4000;TT;7;4000;0
;tTT4;16;3000;TT;7;3000;0
;tTT5;29;3000;TT;7;3000;0
;tTT6;154;4000;TT;7;4000;0
;tTT7;28;4000;TT;7;4000;0
;tTT8;35;4000;TT;7;4000;0
;tTT9;65;3000;TT;7;3000;0
;tTT10;181;3000;TT;7;3000;0
;tTT11;53;4000;TT;7;4000;0
;tTT12;231;3000;TT;7;3000;0
;tTT13;48;3000;TT;7;3000;0
;tTT14;22;3000;TT;7;3000;0
;tTT15;130;4000;TT;7;4000;0
;tTT16;88;3000;TT;7;3000;0
;tTT17;35;3000;TT;7;3000;0
;tTT18;37;2000;TT;7;2000;0
;tTT19;156;3000;TT;7;3000;0
;tTT20;138;4000;TT;7;4000;0
;tTT21;24;2000;TT;7;2000;0
;tTT22;35;2000;TT;7;2000;0
;tTT23;19;3000;TT;7;3000;0
;tTT24;27;4000;TT;7;4000;0
;tTT25;1;3000;TT;7;3000;0
;tTT26;44;3000;TT;7;3000;0
;tTT27;25;4000;TT;7;4000;0
;tTT28;33;4000;TT;7;4000;0
;tTT29;89;2000;TT;7;2000;0
;tET7;23;4000;ET;0;1895;2
;tET2;35;4000;ET;0;1599;2
;tET5;73;3000;ET;1;1494;3
;tET9;20;4000;ET;1;1479;1
;tET17;10;4000;ET;1;1421;3
;tET15;5;4000;ET;1;1394;1
;tET8;10;3000;ET;1;1382;2
;tET10;43;3000;ET;2;1376;3
;tET4;53;3000;ET;2;1375;2
;tET0;4;3000;ET;3;1222;1
;tET3;17;3000;ET;3;1089;1
;tET13;8;2000;ET;3;994;3
;tET6;41;2000;ET;3;924;3
;tET16;53;3000;ET;4;889;2
;tET14;130;3000;ET;4;819;3
;tET11;19;3000;ET;4;804;1
;tET19;5;2000;ET;5;754;2
;tET1;20;2000;ET;5;522;1
;tET18;10;2000;ET;6;505;1
;tET12;9;2000;ET;6;505;3
