tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;45;2000;TT;7;2000;0
;tTT1;16;4000;TT;7;4000;0
;tTT2;5;2000;TT;7;2000;0
;tTT3;31;2000;TT;7;2000;0
;tTT4;85;3000;TT;7;3000;0
;tTT5;24;4000;TT;7;4000;0
;tTT6;12;4000;TT;7;4000;0
;tTT7;12;3000;TT;7;3000;0
;tTT8;34;3000;TT;7;3000;0
;tTT9;72;3000;TT;7;3000;0
;tTT10;34;4000;TT;7;4000;0
;tTT11;2;4000;TT;7;4000;0
;tTT12;5;2000;TT;7;2000;0
;tTT13;98;4000;TT;7;4000;0
;tTT14;8;2000;TT;7;2000;0
;tTT15;54;4000;TT;7;4000;0
;tTT16;12;4000;TT;7;4000;0
;tTT17;3;3000;TT;7;3000;0
;tTT18;14;3000;TT;7;3000;0
;tTT19;15;2000;TT;7;2000;0
;tTT20;12;3000;TT;7;3000;0
;tTT21;31;3000;TT;7;3000;0
;tTT22;39;3000;TT;7;3000;0
;tTT23;5;3000;TT;7;3000;0
;tTT24;59;2000;TT;7;2000;0
;tTT25;2;4000;TT;7;4000;0
;tTT26;16;4000;TT;7;4000;0
;tTT27;18;3000;TT;7;3000;0
;tTT28;84;3000;TT;7;3000;0
;tTT29;35;2000;TT;7;2000;0
;tET17;2;4000;ET;0;1572;1
;tET12;22;3000;ET;0;1472;2
;tET15;193;3000;ET;0;1319;2
;tET3;176;4000;ET;1;1252;2
;tET8;89;4000;ET;1;1245;3
;tET13;86;4000;ET;2;1236;1
;tET2;32;3000;ET;3;1120;3
;tET6;35;2000;ET;3;994;3
;tET1;140;2000;ET;3;981;1
;tET7;74;3000;ET;3;968;2
;tET11;11;3000;ET;4;965;2
;tET4;8;2000;ET;4;944;1
;tET18;141;3000;ET;4;901;1
;tET5;21;2000;ET;5;850;2
;tET19;62;3000;ET;5;840;3
;tET14;63;2000;ET;5;743;2
;tET9;88;2000;ET;5;742;2
;tET0;87;2000;ET;6;728;1
;tET16;23;2000;ET;6;621;1
;tET10;10;2000;ET;6;617;3
