tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;9;2000;TT;7;2000;0
;tTT1;3;4000;TT;7;4000;0
;tTT2;4;3000;TT;7;3000;0
;tTT3;10;3000;TT;7;3000;0
;tTT4;8;3000;TT;7;3000;0
;tTT5;6;3000;TT;7;3000;0
;tTT6;9;3000;TT;7;3000;0
;tTT7;4;2000;TT;7;2000;0
;tTT8;10;4000;TT;7;4000;0
;tTT9;6;2000;TT;7;2000;0
;tTT10;1;4000;TT;7;4000;0
;tTT11;11;3000;TT;7;3000;0
;tTT12;42;4000;TT;7;4000;0
;tTT13;3;4000;TT;7;4000;0
;tTT14;6;2000;TT;7;2000;0
;tTT15;10;3000;TT;7;3000;0
;tTT16;20;4000;TT;7;4000;0
;tTT17;5;4000;TT;7;4000;0
;tTT18;4;3000;TT;7;3000;0
;tTT19;1;3000;TT;7;3000;0
;tTT20;13;4000;TT;7;4000;0
;tTT21;2;2000;TT;7;2000;0
;tTT22;11;2000;TT;7;2000;0
;tTT23;26;4000;TT;7;4000;0
;tTT24;2;2000;TT;7;2000;0
;tTT25;48;3000;TT;7;3000;0
;tTT26;1;3000;TT;7;3000;0
;tTT27;2;2000;TT;7;2000;0
;tTT28;1;2000;TT;7;2000;0
;tTT29;62;4000;TT;7;4000;0
;tET18;271;4000;ET;0;1976;2
;tET3;76;4000;ET;1;1917;2
;tET4;21;4000;ET;1;1703;1
;tET10;54;4000;ET;2;1604;1
;tET8;194;4000;ET;2;1578;2
;tET12;114;4000;ET;2;1459;2
;tET1;170;3000;ET;2;1392;1
;tET7;25;3000;ET;4;1351;1
;tET14;20;4000;ET;4;1287;3
;tET11;41;3000;ET;4;1238;2
;tET15;165;4000;ET;4;1194;3
;tET19;64;2000;ET;5;1000;1
;tET13;18;2000;ET;5;983;2
;tET16;1;3000;ET;5;983;3
;tET0;152;2000;ET;5;958;1
;tET2;90;3000;ET;5;957;3
;tET9;82;2000;ET;6;942;1
;tET17;162;2000;ET;6;886;1
;tET5;18;2000;ET;6;835;3
;tET6;34;2000;ET;6;591;2
