tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;32;4000;TT;7;4000;0
;tTT1;6;2000;TT;7;2000;0
;tTT2;21;2000;TT;7;2000;0
;tTT3;16;4000;TT;7;4000;0
;tTT4;1;4000;TT;7;4000;0
;tTT5;7;2000;TT;7;2000;0
;tTT6;7;2000;TT;7;2000;0
;tTT7;8;4000;TT;7;4000;0
;tTT8;23;3000;TT;7;3000;0
;tTT9;14;2000;TT;7;2000;0
;tTT10;27;4000;TT;7;4000;0
;tTT11;16;3000;TT;7;3000;0
;tTT12;1;2000;TT;7;2000;0
;tTT13;4;4000;TT;7;4000;0
;tTT14;3;2000;TT;7;2000;0
;tTT15;9;4000;TT;7;4000;0
;tTT16;10;2000;TT;7;2000;0
;tTT17;88;4000;TT;7;4000;0
;tTT18;30;2000;TT;7;2000;0
;tTT19;12;3000;TT;7;3000;0
;tTT20;45;2000;TT;7;2000;0
;tTT21;11;2000;TT;7;2000;0
;tTT22;4;2000;TT;7;2000;0
;tTT23;35;4000;TT;7;4000;0
;tTT24;44;3000;TT;7;3000;0
;tTT25;12;2000;TT;7;2000;0
;tTT26;4;3000;TT;7;3000;0
;tTT27;36;3000;TT;7;3000;0
;tTT28;43;4000;TT;7;4000;0
;tTT29;38;4000;TT;7;4000;0
;tET4;104;4000;ET;0;1999;3
;tET9;92;4000;ET;0;1818;2
;tET11;155;4000;ET;0;1471;1
;tET2;30;4000;ET;0;1293;1
;tET12;141;4000;ET;1;1269;3
;tET10;78;3000;ET;1;1268;3
;tET15;190;3000;ET;2;1193;3
;tET17;272;4000;ET;2;1155;3
;tET13;37;4000;ET;2;1124;2
;tET0;113;4000;ET;3;1123;3
;tET18;173;4000;ET;3;1119;2
;tET5;43;4000;ET;4;1042;1
;tET19;104;3000;ET;4;983;2
;tET16;135;3000;ET;5;950;3
;tET1;15;2000;ET;5;935;1
;tET14;20;3000;ET;6;910;1
;tET7;81;2000;ET;6;888;2
;tET6;66;3000;ET;6;841;1
;tET3;83;2000;ET;6;766;1
;tET8;52;2000;ET;6;684;1
