tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;6;4000;TT;7;4000;0
;tTT1;2;4000;TT;7;4000;0
;tTT2;14;2000;TT;7;2000;0
;tTT3;7;4000;TT;7;4000;0
;tTT4;15;2000;TT;7;2000;0
;tTT5;7;3000;TT;7;3000;0
;tTT6;38;4000;TT;7;4000;0
;tTT7;95;3000;TT;7;3000;0
;tTT8;1;2000;TT;7;2000;0
;tTT9;2;2000;TT;7;2000;0
;tTT10;4;3000;TT;7;3000;0
;tTT11;31;4000;TT;7;4000;0
;tTT12;4;2000;TT;7;2000;0
;tTT13;49;3000;TT;7;3000;0
;tTT14;7;2000;TT;7;2000;0
;tTT15;58;2000;TT;7;2000;0
;tTT16;18;3000;TT;7;3000;0
;tTT17;23;3000;TT;7;3000;0
;tTT18;29;3000;TT;7;3000;0
;tTT19;10;2000;TT;7;2000;0
;tTT20;14;3000;TT;7;3000;0
;tTT21;22;2000;TT;7;2000;0
;tTT22;13;3000;TT;7;3000;0
;tTT23;14;2000;TT;7;2000;0
;tTT24;11;2000;TT;7;2000;0
;tTT25;36;3000;TT;7;3000;0
;tTT26;1;2000;TT;7;2000;0
;tTT27;5;2000;TT;7;2000;0
;tTT28;1;3000;TT;7;3000;0
;tTT29;17;3000;TT;7;3000;0
;tET9;6;4000;ET;0;1790;3
;tET4;11;4000;ET;0;1463;2
;tET10;8;3000;ET;0;1277;2
;tET13;3;3000;ET;0;1212;2
;tET5;3;3000;ET;0;1075;1
;tET3;20;4000;ET;1;1055;2
;tET14;10;2000;ET;1;969;3
;tET6;31;2000;ET;1;968;1
;tET19;14;2000;ET;2;949;2
;tET8;19;3000;ET;2;935;3
;tET11;12;2000;ET;3;831;2
;tET16;2;2000;ET;3;819;2
;tET0;13;2000;ET;4;756;1
;tET2;6;2000;ET;4;732;3
;tET1;2;2000;ET;4;619;3
;tET12;16;2000;ET;5;618;1
;tET15;2;2000;ET;5;545;3
;tET7;38;2000;ET;6;533;2
;tET17;16;2000;ET;6;532;3
;tET18;6;2000;ET;6;528;1
