tasks;name;duration;period;type;priority;deadline;seperation
;tTT0;19;3000;TT;7;3000;0
;tTT1;9;2000;TT;7;2000;0
;tTT2;7;2000;TT;7;2000;0
;tTT3;11;4000;TT;7;4000;0
;tTT4;17;2000;TT;7;2000;0
;tTT5;7;4000;TT;7;4000;0
;tTT6;3;3000;TT;7;3000;0
;tTT7;23;3000;TT;7;3000;0
;tTT8;9;2000;TT;7;2000;0
;tTT9;18;3000;TT;7;3000;0
;tTT10;2;2000;TT;7;2000;0
;tTT11;13;2000;TT;7;2000;0
;tTT12;29;4000;TT;7;4000;0
;tTT13;23;2000;TT;7;2000;0
;tTT14;6;2000;TT;7;2000;0
;tTT15;6;3000;TT;7;3000;0
;tTT16;13;4000;TT;7;4000;0
;tTT17;1;4000;TT;7;4000;0
;tTT18;2;2000;TT;7;2000;0
;tTT19;17;3000;TT;7;3000;0
;tTT20;4;4000;TT;7;4000;0
;tTT21;12;2000;TT;7;2000;0
;tTT22;1;2000;TT;7;2000;0
;tTT23;1;4000;TT;7;4000;0
;tTT24;4;3000;TT;7;3000;0
;tTT25;1;4000;TT;7;4000;0
;tTT26;3;4000;TT;7;4000;0
;tTT27;1;2000;TT;7;2000;0
;tTT28;9;3000;TT;7;3000;0
;tTT29;13;3000;TT;7;3000;0
;tET6;119;4000;ET;0;1729;1
;tET11;38;4000;ET;0;1674;3
;tET16;35;4000;ET;2;1660;1
;tET15;39;3000;ET;2;1432;3
;tET12;236;3000;ET;2;1412;2
;tET0;36;4000;ET;2;1398;3
;tET9;56;3000;ET;2;1346;2
;tET19;143;4000;ET;3;1336;2
;tET18;50;3000;ET;4;1264;1
;tET3;1;4000;ET;4;1193;1
;tET5;128;4000;ET;4;1169;1
;tET14;40;3000;ET;4;1116;1
;tET1;45;3000;ET;4;1105;2
;tET10;96;4000;ET;4;1049;3
;tET17;160;3000;ET;4;1033;1
;tET8;20;2000;ET;5;988;3
;tET2;103;3000;ET;5;981;3
;tET7;1;2000;ET;6;877;1
;tET13;1;2000;ET;6;651;3
;tET4;1;2000;ET;6;642;3
